placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000225,,OCC000225,Conderco,89150,Condercum,54.977092,-1.664359,unknown,Occidentis,Dux Britanniarum,Praefectus,alae primae Asturum,1487,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000226,,OCC000226,Vindobala,89315,Vindobala,55.00241,-1.82535,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis primae Frixagorum,1488,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000227,,OCC000227,Hunno,89201,Hunno,55.010652,-2.005582,unknown,Occidentis,Dux Britanniarum,Praefectus,alae Sabinianae,1489,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000228,,OCC000228,Cilurno,89144,Cilurnum,55.025811,-2.139952,unknown,Occidentis,Dux Britanniarum,Praefectus,alae secundae Asturum,1490,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000231,,OCC000231,Vindolana,89313,Vindolanda,54.991355,-2.361412,fort,Occidentis,Dux Britanniarum,Tribunus,cohortis quartae Gallorum,1493,CONTEXT_FUZZY,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000232,,OCC000232,Aesica,89095,Aesica,54.994861,-2.464486,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis primae Asturum,1494,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000235,,OCC000235,Petrianis,89307,Petriana,54.905036,-2.934149,unknown,Occidentis,Dux Britanniarum,Praefectus,alae Petrianae,1497,,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000236,,OCC000236,Luguvallii,89234,Luguvalium,54.89509,-2.933584,unknown,Occidentis,Dux Britanniarum,,,1498,CONTEXT_FUZZY,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000238,,OCC000238,Congavata,89151,Congabata,54.928087,-3.148943,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis secundae Lingonum,1500,,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000239,,OCC000239,Axeloduno,89307,Axeloduno,54.905036,-2.934149,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis primae Hispanorum,1501,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000240,,OCC000240,Gabrosenti,89189,Gabrosentum,54.573931,-3.576289,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis secundae Thracum,1502,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000242,,OCC000242,Glannibanta,89193,Glannibanta,54.355499,-3.410628,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis primae Morinorum,1504,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000243,,OCC000243,Alione,89097,Alione,54.720887,-3.49391,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis tertiae Neruiorum,1505,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000253,,OCC000253,Mogontiaco,109169,Mogontiacum,49.993005,8.278026,unknown,Occidentis,Dux Mogontiacensis,Praefectus,militum armigerorum,1528,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,GERMANIA I,Mogonticensis,,Mogonticensis,
OCC000254,,OCC000254,Bingio,108809,Bingium,49.968995,7.895659,unknown,Occidentis,Dux Mogontiacensis,Praefectus,militum Bingensium,1529,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,GERMANIA I,Mogonticensis,,Mogonticensis,
OCC000255,,OCC000255,Bodobrica,108817,Bodobrica,50.230984,7.591936,unknown,Occidentis,Dux Mogontiacensis,Praefectus,militum balistariorum,1530,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,GERMANIA I,Mogonticensis,,Mogonticensis,
OCC000258,,OCC000258,Aquileiae,187290,Aquileia,45.768259,13.364601,unknown,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,Praefectus,classis Venetum,1547,REGION_EXACT,confirmed,REGION_MATCH,VENETIA ET HISTRIA,Venetia inferiore,Venetia inferiore,,ITALIA
OCC000259,,OCC000259,Ravennae,393480,Ravenna,44.415718,12.196604,unknown,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,Praefectus,militum iuniorum Italicorum,1549,CONTEXT_CONFLICT_EXACT,confirmed,HARD_MISMATCH,AEMILIA ET LIGURIA,Flaminia,Flaminia,,ITALIA
OCC000260,,OCC000260,Ravennae,393480,Ravenna,44.415718,12.196604,unknown,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,Praefectus,classis Ravennatium cum curis eiusdem civitatis,1550,CONTEXT_CONFLICT_EXACT,confirmed,HARD_MISMATCH,AEMILIA ET LIGURIA,Flaminia,Flaminia,,ITALIA
