pleiadesId,romanized,attested,language,nameType
265766,Ad Aras,,,geographic
265767,Ad Aras,,,geographic
628918,Ad Aras,,,geographic
324655,Ad Arvalla,,,geographic
260478,Ad Atrum,,,geographic
314847,Ad Atticille,,,geographic
197058,Ad Basante,,,geographic
311064,Ad Basilicam,,,geographic
334472,Ad Basilicam Diadumene,,,geographic
422805,Ad Bivium,,,geographic
334473,Ad Calceum Herculis,,,geographic
442439,Ad Calorem,,,geographic
438659,Ad Canales,,,geographic
338243,Ad Capsu Iuliani,,,geographic
338243,Ad Capsum Iuliani,,,geographic
363929,Ad Capsum Ultimum,,,geographic
412993,Ad Casas Caesarianas,,,geographic
246134,Ad Centenarium,,,geographic
311065,Ad Centenarium,,,geographic
338244,Ad Centenarium,,,geographic
412992,Ad Centesimum,,,geographic
338245,Ad Centum Arbores,,,geographic
246134,Ad Centuriones,,,geographic
393360,Ad Cerasias,,,geographic
349568,Ad Cisternas,,,geographic
240849,Ad Cohortem Gallicam,,,geographic
452250,Ad Columnam,,,geographic
289922,Ad Crispas,,,geographic
314848,Ad Decimum,,,geographic
422806,Ad Decimum,,,geographic
422807,Ad Decimum,,,geographic
442440,Ad Decimum,,,geographic
491509,Ad Decimum,,,geographic
255952,Ad Decumum,,,geographic
197059,Ad Dianam,,,geographic
321634,Ad Dianam,,,geographic
481697,Ad Dianam,,,geographic
746721,Ad Dianam,,,geographic
285392,Ad Dracones,,,geographic
311066,Ad Dracones,,,geographic
876612,Ad Dracones,,,geographic
206877,Ad Drinum,,,geographic
211403,Ad Drinum,,,geographic
422808,Ad Duas Lauros,,,geographic
334474,Ad Duo Flumina,,,geographic
265769,Ad Duo Solaria,,,geographic
108725,Ad Duodecimum,,,geographic
442441,Ad Duodecimum,,,geographic
491510,Ad Duodecimum,,,geographic
501326,Ad Duodecimum,,,geographic
236319,Ad Duos Pontes,,,geographic
265770,Ad Ello,,,geographic
147982,Ad Ermum,,,geographic
311067,Ad Ficum,,,geographic
363914,Ad Ficum,,,geographic
383544,Ad Figlinas,,,geographic
167615,Ad Finem,,,geographic
393361,Ad Finem,,,geographic
108726,Ad Fines,,,geographic
114762,Ad Fines,,,geographic
147983,Ad Fines,,,geographic
187249,Ad Fines,,,geographic
197060,Ad Fines,,,geographic
197061,Ad Fines,,,geographic
206878,Ad Fines,,,geographic
206879,Ad Fines,,,geographic
246135,Ad Fines,,,geographic
383545,Ad Fines,,,geographic
403172,Ad Fines,Adfines,la,geographic
412993,Ad Fines,,,geographic
648547,Ad Fines,,,geographic
874296,Ad fl. Tigrim,,,geographic
197062,Ad Flexum,,,geographic
383546,Ad Flexum,,,geographic
432626,Ad Flexum,Adflexvm,la,geographic
876558,Ad flumen Tigrem,,,geographic
452251,Ad Fluvium Angitulam,,,geographic
442442,Ad Fluvium Bradanum,,,geographic
462070,Ad Fluvium Lanaricum,,,geographic
452252,Ad Fluvium Sabutum,,,geographic
383547,Ad Fonteclos,,,geographic
863722,Ad Fontem Felicem,,,geographic
197063,Ad Fornulos,,,geographic
285393,Ad Fratres,,,geographic
456024,Ad Fretum Ad Statuam,,,geographic
314849,Ad Gallinacium,,,geographic
422809,Ad Gallinas Albas,,,geographic
314849,Ad Gallum,,,geographic
265771,Ad Gemellas,,,geographic
416764,Ad Grecos,,,geographic
206880,Ad Herculem,,,geographic
255953,Ad Herculem,,,geographic
409212,Ad Herculem,,,geographic
471877,Ad Herculem,,,geographic
897700,Ad Herculem,,,geographic
157798,Ad Horrea,,,geographic
393362,Ad Idicem,,,geographic
416765,Ad Ioglandem,,,geographic
246136,Ad Iovem,,,geographic
118541,Ad Iuvense,,,geographic
383548,Ad IX,,,geographic
393358,Ad IX,,,geographic
197064,Ad Labores,,,geographic
197065,Ad Labores Pontis Ulcae,,,geographic
203097,Ad Lacum Felicis,,,geographic
211404,Ad Lacum Felicis,,,geographic
197066,Ad Ladios,,,geographic
338246,Ad Lali,,,geographic
338246,Ad Lali...,,,geographic
422955,Ad Laminas,,,geographic
422955,Ad Lamnas,,,geographic
311068,Ad Lapidem Baium,,,geographic
197067,Ad Latus,,,geographic
265772,Ad Leones,,,geographic
167616,Ad Letoce,,,geographic
197068,Ad Libros,,,geographic
236320,Ad Lippos,,,geographic
197069,Ad Lotodos,,,geographic
265773,Ad Lucos,,,geographic
108727,Ad Lullia,,,geographic
118542,Ad Lunam,,,geographic
334599,Ad Maiores,,,geographic
452253,Ad Mallias,,,geographic
456025,Ad Mallias,,,geographic
197070,Ad Malum,,,geographic
167617,Ad Martis,,,geographic
409213,Ad Martis,,,geographic
416766,Ad Martis,,,geographic
438660,Ad Matrem Magnam,,,geographic
197071,Ad Matricem,,,geographic
118543,Ad Mauros,,,geographic
677999,Ad Medera,,,geographic
206884,Ad Mediam,,,geographic
197072,Ad Medias,,,geographic
334476,Ad Medias,,,geographic
383610,Ad Medias,,,geographic
393363,Ad Medias,,,geographic
432629,Ad Medias,,,geographic
471878,Ad Medias,,,geographic
416768,Ad Mensulas,,,geographic
275579,Ad Mercuri,,,geographic
278597,Ad Mercurios,,,geographic
314850,Ad Mercurium,,,geographic
314851,Ad Mercurium,,,geographic
329182,Ad Mercurium,,,geographic
863723,Ad Mercurium,,,geographic
197073,Ad Militare,,,geographic
314852,Ad Molas,,,geographic
383550,Ad Monilia,,,geographic
265774,Ad Morum,,,geographic
265775,Ad Morum,,,geographic
383550,Ad Munilia,,,geographic
197074,Ad Mures,,,geographic
265776,Ad Murum,,,geographic
206886,Ad Mutrium,,,geographic
383551,Ad Navalia,,,geographic
197075,Ad Ningum,,,geographic
416769,Ad Nonas,,,geographic
197076,Ad Nonum,,,geographic
206887,Ad Nonum,,,geographic
246137,Ad Nonum,,,geographic
422811,Ad Nonum,,,geographic
422812,Ad Nonum,,,geographic
678000,Ad Nonum,,,geographic
187253,Ad Novas,,,geographic
197077,Ad Novas,,,geographic
246138,Ad Novas,,,geographic
275580,Ad Novas,,,geographic
393364,Ad Novas,,,geographic
413382,Ad Novas,,,geographic
416770,Ad Novas,,,geographic
433195,Ad Novas,,,geographic
438661,Ad Novas,,,geographic
481699,Ad Novas,,,geographic
265777,Ad Novlas,,,geographic
265778,Ad Novlas,,,geographic
206889,Ad Octavum,,,geographic
412995,Ad Octavum,,,geographic
432631,Ad Octavum,,,geographic
471879,Ad Octavum,,,geographic
338247,Ad Oculum Marinum,,,geographic
324656,Ad Oleastrum,,,geographic
311069,Ad Olivam,,,geographic
462071,Ad Olivam,,,geographic
658363,Ad Orontem,,,geographic
383552,Ad Padum,,,geographic
393365,Ad Palatium,,,geographic
265779,Ad Palem,,,geographic
311070,Ad Palmam,,,geographic
338248,Ad Palmam,,,geographic
344285,Ad Palmam,,,geographic
363915,Ad Palmam,,,geographic
206890,Ad Pannonios,,,geographic
314853,Ad Pertusa,,,geographic
481700,Ad Picaria,,,geographic
481700,Ad Picarias,,,geographic
422813,Ad Pictas,,,geographic
446210,Ad Pinum,,,geographic
197317,Ad Pirum,,,geographic
416767,Ad Pirum,,,geographic
442443,Ad Pirum,Ad pirvm,la,geographic
416767,Ad Pirum Filumeni,,,geographic
334477,Ad Piscinam,,,geographic
311071,Ad Piscinas,,,geographic
311072,Ad Plumbaria,,,geographic
118545,Ad Ponte Ises,,,geographic
197079,Ad Pontem,,,geographic
255954,Ad Pontem,,,geographic
344286,Ad Pontem,,,geographic
79285,Ad Pontem,,,geographic
874720,Ad Pontem,,,geographic
118545,Ad Pontem Ises,,,geographic
123067,Ad Pontes Tesseninos,,,geographic
123067,Ad Pontes Tessenios,,,geographic
255955,Ad Portum,,,geographic
305022,Ad Portum,,,geographic
393366,Ad Portum,,,geographic
197080,Ad Praetorium,,,geographic
631182,Ad Praetorium,,,geographic
167618,Ad Publicanos,,,geographic
197081,Ad Publicanos,,,geographic
474897,Ad Pulvinos,,,geographic
216692,Ad Putea,,,geographic
265780,Ad Putea,,,geographic
363916,Ad Puteum,,,geographic
438662,Ad Pyr,,,geographic
246139,Ad Pyrenaeum,,,geographic
438662,Ad Pyrum,,,geographic
197082,Ad Quartodecimum,,,geographic
432633,Ad Quartum,,,geographic
