occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000088,Occidentis,Comes Africae,1092,Taugensis,limes,Praepositus,limitis Taugensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000089,Occidentis,Comes Africae,1093,Bidensis,limes,Praepositus,limitis Bidensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000090,Occidentis,Comes Africae,1094,Badensis,limes,Praepositus,limitis Badensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000091,Occidentis,Comes Tingitaniae,1110,Tamuco,tail,Praefectus,alae Herculeae,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000092,Occidentis,Comes Tingitaniae,1111,Duga,tail,Tribunus,cohortis secundae Hispanorum,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000093,Occidentis,Comes Tingitaniae,1112,Aulucos,tail,Tribunus,cohortis primae Herculeae,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000094,Occidentis,Comes Tingitaniae,1113,Castrabarensis,tail,Tribunus,cohortis primae Ityraeorum,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000095,Occidentis,Comes Tingitaniae,1114,Sala,tail,Tribunus,cohortis,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000096,Occidentis,Comes Tingitaniae,1115,Pacatiana,tail,Tribunus,cohortis Pacatianensis,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000097,Occidentis,Comes Tingitaniae,1116,Tabernas,tail,Tribunus,cohortis tertiae Asturum,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000098,Occidentis,Comes Tingitaniae,1117,Friglas,tail,Tribunus,cohortis Friglensis,,,,,,,Comes Tingitaniae / Comes Tingitaniae / Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei
OCC000099,Occidentis,Comes litoris Saxonici per Britanniam,1137,Othonae,tail,Praepositus,numeri Fortensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000100,Occidentis,Comes litoris Saxonici per Britanniam,1138,Dubris,tail,Praepositus,militum Tungrecanorum,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000101,Occidentis,Comes litoris Saxonici per Britanniam,1139,Lemannis,tail,Praepositus,numeri Turnacensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000102,Occidentis,Comes litoris Saxonici per Britanniam,1140,Branoduno,tail,Praepositus,equitum Dalmatarum Branodunensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000103,Occidentis,Comes litoris Saxonici per Britanniam,1141,Gariannonor,tail,Praepositus,equitum stablesianorum Gariannonensium,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000104,Occidentis,Comes litoris Saxonici per Britanniam,1142,Regulbio,tail,Tribunus,cohortis primae Baetasiorum,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000105,Occidentis,Comes litoris Saxonici per Britanniam,1143,Rutupis,tail,Praefectus,legionis secundae Augustae,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
OCC000106,Occidentis,Comes litoris Saxonici per Britanniam,1144,Anderidos,tail,Praepositus,numeri Abulcorum,,,,,,,Comes litoris Saxonici per Britanniam / Comes litoris Saxonici per Britanniam / Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam
